zipcode,Station_Name,Corner,Latitude,Longitude
10036,42nd St,SE,40.754609,-73.983894
10036,7th Av,NE,40.762937,-73.981578
10036,7th Av,SE,40.762793,-73.98169
10036,50th St,SE,40.761111,-73.983436
10036,50th St,SE,40.761282,-73.983853
10036,50th St,NE,40.761212,-73.983357
10036,50th St,NE,40.761367,-73.983782
10036,Times Square,NW,40.756241,-73.987133
10036,Times Square,SW,40.756042,-73.987242
10036,5th Av,SW,40.753409,-73.98113
10036,57th St,SW,40.764258,-73.981278
10036,57th St,SE,40.764057,-73.980803
10036,57th St,NW,40.764377,-73.981167
10036,57th St,NE,40.764179,-73.980683
10036,49th St,NE,40.760454,-73.983388
10036,49th St,SE,40.75903,-73.984412
10036,49th St,NE,40.759513,-73.984884
10036,49th St,NW,40.759384,-73.984709
10036,49th St,SE,40.760297,-73.983567
10036,Times Square-42nd St,SE,40.754172,-73.98668
10036,Times Square-42nd St,SW,40.754335,-73.987097
10036,Times Square-42nd St,NE,40.754301,-73.986623
10036,Times Square-42nd St,NW,40.754507,-73.987108
10036,50th St,SE,40.762085,-73.985829
10036,50th St,NE,40.762216,-73.985757
10036,42nd St,SW,40.758567,-73.989053
10036,42nd St,SE,40.758401,-73.988673
10036,42nd St,NW,40.758685,-73.98899
10036,34th St,SE,40.752689,-73.992742
10036,34th St,NE,40.752796,-73.992669
10036,34th St,NE,40.752766,-73.992596
10036,34th St,SW,40.752877,-73.993244
10036,34th St,NW,40.753053,-73.993256
10036,34th St,NW,40.753032,-73.993188
10036,34th St,NW,40.752427,-73.993679
10036,47-50th Sts Rockefeller Center,SW,40.758623,-73.981566
10036,47-50th Sts Rockefeller Center,W,40.758977,-73.981352
10036,47-50th Sts Rockefeller Center,W,40.759105,-73.981252
10036,47-50th Sts Rockefeller Center,SE,40.757801,-73.981788
10036,47-50th Sts Rockefeller Center,SW,40.758024,-73.982079
10036,47-50th Sts Rockefeller Center,NE,40.757981,-73.98154
10036,47-50th Sts Rockefeller Center,SE,40.757862,-73.981735
10036,47-50th Sts Rockefeller Center,SE,40.758486,-73.981158
10036,47-50th Sts Rockefeller Center,NE,40.758615,-73.981095
10036,42nd St,NW,40.753709,-73.985084
10036,42nd St,NW,40.755333,-73.983934
10036,42nd St,NW,40.755008,-73.984249
10036,42nd St,NE,40.754832,-73.983657
10036,42nd St,SW,40.753473,-73.985259
10036,42nd St,SE,40.753408,-73.984892
10036,42nd St,NE,40.753546,-73.984779
10036,7th Av,SE,40.763141,-73.982666
10036,7th Av,NE,40.763388,-73.982495
10036,50th St,SW,40.761432,-73.98437
10036,50th St,NW,40.761561,-73.984154
10036,Times Square,SW,40.754691,-73.988067
10036,Times Square,SE,40.754568,-73.987827
10036,Times Square,NW,40.755554,-73.987679
10036,Times Square,SE,40.755575,-73.986311
10036,Times Square,SW,40.756476,-73.986311
10036,Grand Central,NE,40.75283,-73.978917
10036,Grand Central,SE,40.752218,-73.978396
10036,Grand Central,SE,40.752279,-73.97828
10036,Grand Central,NW,40.752717,-73.978487
10036,50th St,NE,40.7629,-73.985412
10036,42nd St,SW,40.757929,-73.989547
10036,42nd St,NW,40.757463,-73.989984
10036,5th Av,S,40.754175,-73.982871
10036,5th Av,S,40.754213,-73.982984
10036,Grand Central,SW,40.752846,-73.979798
10036,Grand Central,NW,40.753087,-73.979537
10036,Times Square,SE,40.755747,-73.986875
10036,Times Square,SE,40.755248,-73.987362
10036,Times Square,SE,40.755334,-73.9872
zipcode,Station_Name,Corner,Latitude,Longitude
10044,21st St,NW,40.754322,-73.942374
10044,21st St,NW,40.754131,-73.942491
10044,21st St,NW,40.754195,-73.942521
10044,21st St,NE,40.754069,-73.942132
10044,21st St,NE,40.754255,-73.941935
10044,Roosevelt Island,SE,40.759016,-73.953505
10044,Queensboro Plaza,SW,40.750302,-73.940245
zipcode,Station_Name,Corner,Latitude,Longitude
10065,5th Av,NW,40.765156,-73.972501
10065,5th Av,SE,40.764728,-73.972396
10065,5th Av,NE,40.764849,-73.972306
10065,5th Av,SE,40.764657,-73.972229
10065,Lexington Av,NW,40.764884,-73.966514
10065,Lexington Av,NW,40.764874,-73.966431
10065,Lexington Av,NW,40.764881,-73.966411
10065,Lexington Av,SW,40.764721,-73.966552
10065,Lexington Av,NW,40.764866,-73.966422
10065,68th St-Hunter College,SW,40.76787,-73.964244
10065,68th St-Hunter College,SW,40.767817,-73.964355
10065,68th St-Hunter College,SE,40.767703,-73.963979
10065,68th St-Hunter College,NW,40.767981,-73.964178
10065,68th St-Hunter College,NE,40.767863,-73.963898
10065,59th St,SW,40.762836,-73.96804
10065,Lexington Av,SW,40.762092,-73.96634
10065,Lexington Av,NW,40.762353,-73.966155
10065,Lexington Av,SE,40.761996,-73.966105
10065,Lexington Av,NE,40.762255,-73.965918
10065,59th St,SE,40.76266,-73.967625
10065,59th St,NW,40.762414,-73.968371
10065,59th St,SW,40.762266,-73.968479
10065,59th St,NE,40.762835,-73.967554
10065,59th St,SE,40.762069,-73.968016
10065,59th St,NW,40.762986,-73.96785
zipcode,Station_Name,Corner,Latitude,Longitude
10010,28th St,SE,40.745089,-73.988472
10010,28th St,NE,40.745299,-73.988579
10010,23rd St,SE,40.74108,-73.989083
10010,23rd St,SE,40.741111,-73.98892
10010,23rd St,NE,40.741378,-73.988895
10010,23rd St,NE,40.741539,-73.988989
10010,Union Square,NE,40.735278,-73.991058
10010,3rd Av,SE,40.732961,-73.986657
10010,3rd Av,SE,40.733134,-73.987041
10010,23rd St,SE,40.742659,-73.992489
10010,23rd St,SE,40.742715,-73.992617
10010,23rd St,NE,40.74288,-73.992506
10010,23rd St,NE,40.742825,-73.992383
10010,28th St,SE,40.743128,-73.983806
10010,28th St,SE,40.743167,-73.983896
10010,28th St,NE,40.743304,-73.983857
10010,28th St,NE,40.743257,-73.983738
10010,23rd St,SE,40.740008,-73.986233
10010,23rd St,SE,40.739984,-73.986343
10010,23rd St,NE,40.74018,-73.986006
10010,14th St-Union Square,NE,40.734406,-73.989437
10010,14th St-Union Square,SE,40.73418,-73.989549
10010,14th St-Union Square,SE,40.734222,-73.989674
10010,28th St,SW,40.745281,-73.988923
10010,23rd St,NE,40.740643,-73.989217
10010,23rd St,NE,40.741208,-73.989639
10010,23rd St,NW,40.741913,-73.989428
10010,23rd St,NW,40.740758,-73.989632
10010,Union Square,SE,40.736339,-73.990603
10010,Union Square,NE,40.736523,-73.990447
10010,Union Square,SW,40.734755,-73.990991
10010,Union Square,SW,40.734859,-73.991235
10010,3rd Av,NE,40.733122,-73.986548
10010,3rd Av,NE,40.733277,-73.986931
10010,23rd St,NW,40.743121,-73.993099
10010,23rd St,NW,40.743066,-73.992971
10010,23rd St,SW,40.742977,-73.993188
10010,23rd St,SW,40.742922,-73.993066
10010,28th St,NW,40.743484,-73.98428
10010,28th St,SW,40.743394,-73.984409
10010,28th St,SW,40.743351,-73.984302
10010,23rd St,NW,40.740419,-73.986452
10010,23rd St,SW,40.739501,-73.987134
10010,23rd St,SW,40.740097,-73.986601
10010,23rd St,SW,40.74018,-73.986617
